ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,ygopop RCA,Record Count,Slug Detailed Occupation,Geography,ID Geography,Slug Geography
113031,Financial managers,2017,2017,TRUE,TRUE,46864,5286.117187,152975.9734,17721.89742,1.387797663,474,financial-managers,New Jersey,04000US34,new-jersey
113021,Computer & information systems managers,2017,2017,TRUE,TRUE,30267,4256.373157,150887.9234,13832.08778,1.685577465,324,computer-information-systems-managers,New Jersey,04000US34,new-jersey
113131,Training & development managers,2016,2016,TRUE,TRUE,2409,1204.674843,150147.2603,82786.48303,1.314240471,21,training-development-managers,New Jersey,04000US34,new-jersey
291020,Dentists,2017,2017,TRUE,TRUE,5111,1754.170541,149687.9431,52558.20529,1.238579418,59,dentists,New Jersey,04000US34,new-jersey
532010,Aircraft pilots & flight engineers,2017,2017,TRUE,TRUE,2955,1334.152867,149229.5953,42057.31321,0.612865863,35,aircraft-pilots-flight-engineers,New Jersey,04000US34,new-jersey
132061,Financial examiners,2016,2016,TRUE,TRUE,405,494.0621035,148861.7975,78358.74117,0.9002454,5,financial-examiners,New Jersey,04000US34,new-jersey
132051,Financial analysts,2015,2015,TRUE,TRUE,10937,2564.230523,148139.9217,31779.63818,1.672979399,105,financial-analysts,New Jersey,04000US34,new-jersey
419031,Sales engineers,2017,2017,TRUE,TRUE,2149,1137.851043,147026.5966,35314.19701,1.98296882,24,sales-engineers,New Jersey,04000US34,new-jersey
151122,Information security analysts (Legacy),2016,2016,TRUE,TRUE,2194,1149.69002,146990.7416,71292.52616,0.890054307,26,information-security-analysts,New Jersey,04000US34,new-jersey
291151,Nurse anesthetists,2014,2014,TRUE,TRUE,587,594.7896413,146060.1414,61156.68827,0.741229182,7,nurse-anesthetists,New Jersey,04000US34,new-jersey
273011,Broadcast announcers and radio disc jockeys,2018,2018,TRUE,TRUE,487,541.7698107,145530.2423,222136.6784,0.543785404,6,broadcast-announcers-and-radio-disc-jockeys,New Jersey,04000US34,new-jersey
112022,Sales managers,2018,2018,TRUE,TRUE,13070,2802.56522,145385.2351,26050.44724,1.01208273,136,sales-managers,New Jersey,04000US34,new-jersey
113021,Computer & information systems managers,2018,2018,TRUE,TRUE,28181,4108.036144,145306.6474,14848.35648,1.691729564,320,computer-information-systems-managers,New Jersey,04000US34,new-jersey
291020,Dentists,2016,2016,TRUE,TRUE,4275,1604.441665,144951.7284,55524.37709,1.038339917,44,dentists,New Jersey,04000US34,new-jersey
132051,Financial analysts,2017,2017,TRUE,TRUE,13268,2823.661243,143787.0962,28335.88391,2.060844705,138,financial-analysts,New Jersey,04000US34,new-jersey
152011,Actuaries,2016,2016,TRUE,TRUE,2674,1269.16642,143693.7681,66886.98735,3.225089513,28,actuaries,New Jersey,04000US34,new-jersey
518090,Miscellaneous plant & system operators,2018,2018,TRUE,TRUE,578,590.2142255,143202.4931,178559.814,0.449413848,7,miscellaneous-plant-system-operators,New Jersey,04000US34,new-jersey
119041,Architectural & engineering managers,2014,2014,TRUE,TRUE,3753,1503.382608,141424.0155,25145.6025,0.874002891,45,architectural-engineering-managers,New Jersey,04000US34,new-jersey
119041,Architectural & engineering managers,2018,2018,TRUE,TRUE,4617,1667.335122,140827.9417,21540.01536,0.907275313,49,architectural-engineering-managers,New Jersey,04000US34,new-jersey
532020,Air traffic controllers & airfield operations specialists,2017,2017,TRUE,TRUE,497,547.3033212,140724.1368,105811.15,0.486869375,5,air-traffic-controllers-airfield-operations-specialists,New Jersey,04000US34,new-jersey
113031,Financial managers,2015,2015,TRUE,TRUE,49026,5404.252552,140672.5417,15078.14945,1.449842256,490,financial-managers,New Jersey,04000US34,new-jersey
113031,Financial managers,2016,2016,TRUE,TRUE,47108,5299.047601,140654.1296,15375.92571,1.40164389,499,financial-managers,New Jersey,04000US34,new-jersey
172041,Chemical engineers,2016,2016,TRUE,TRUE,2646,1262.508251,140421.441,57306.38066,1.323283981,22,chemical-engineers,New Jersey,04000US34,new-jersey
532010,Aircraft pilots & flight engineers,2014,2014,TRUE,TRUE,2758,1288.928892,140273.4532,42166.14247,0.660377131,24,aircraft-pilots-flight-engineers,New Jersey,04000US34,new-jersey
172041,Chemical engineers,2017,2017,TRUE,TRUE,2826,1304.726217,139867.0803,59245.0505,1.618268915,29,chemical-engineers,New Jersey,04000US34,new-jersey
331021,Firstline supervisors of fire fighting & prevention workers,2014,2014,TRUE,TRUE,732,664.1900619,139796.3593,28850.60075,0.541449382,7,firstline-supervisors-of-fire-fighting-prevention-workers,New Jersey,04000US34,new-jersey
1520XX,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",2014,2014,TRUE,TRUE,2319,1181.965932,138869.558,63466.39148,1.684461054,25,miscellaneous-mathematical-science-occupations-including-mathematicians-statisticians,New Jersey,04000US34,new-jersey
532020,Air traffic controllers & airfield operations specialists,2018,2018,TRUE,TRUE,443,516.718953,137964.5982,45732.45789,0.401835293,9,air-traffic-controllers-airfield-operations-specialists,New Jersey,04000US34,new-jersey
132041,Credit analysts,2017,2017,TRUE,TRUE,1604,983.0976721,137735.7905,71978.24828,1.921845647,18,credit-analysts,New Jersey,04000US34,new-jersey
113111,Compensation & benefits managers,2014,2014,TRUE,TRUE,857,718.6555211,137499.9837,113652.2158,1.931765322,10,compensation-benefits-managers,New Jersey,04000US34,new-jersey
537021,Crane & tower operators,2015,2015,TRUE,TRUE,842,712.3398182,137399.1081,76851.28402,0.486656618,8,crane-tower-operators,New Jersey,04000US34,new-jersey
113021,Computer & information systems managers,2016,2016,TRUE,TRUE,32567,4413.575551,136752.9052,11639.91777,1.824869562,346,computer-information-systems-managers,New Jersey,04000US34,new-jersey
113021,Computer & information systems managers,2014,2014,TRUE,TRUE,27159,4032.924012,136699.2333,14059.11761,1.683001549,298,computer-information-systems-managers,New Jersey,04000US34,new-jersey
119041,Architectural & engineering managers,2015,2015,TRUE,TRUE,4132,1577.396788,136057.0448,26155.75153,0.926566339,43,architectural-engineering-managers,New Jersey,04000US34,new-jersey
394031,"Morticians, undertakers, & funeral directors",2017,2017,TRUE,TRUE,923,745.8120928,135735.9632,133255.7467,0.808763791,11,morticians-undertakers-funeral-directors,New Jersey,04000US34,new-jersey
331012,Firstline supervisors of police & detectives,2018,2018,TRUE,TRUE,3716,1495.980967,134719.0008,28632.97749,1.123175717,45,firstline-supervisors-of-police-detectives,New Jersey,04000US34,new-jersey
1910XX,"Medical scientists, & life scientists, all other",2018,2018,TRUE,TRUE,7936,2185.128627,134440.5654,37928.90521,1.915920885,84,medical-scientists-life-scientists-all-other,New Jersey,04000US34,new-jersey
113031,Financial managers,2014,2014,TRUE,TRUE,46439,5261.346347,134247.1606,13748.08905,1.406384086,487,financial-managers,New Jersey,04000US34,new-jersey
152011,Actuaries,2014,2014,TRUE,TRUE,2996,1343.353755,134020.5584,41161.9573,3.256631493,27,actuaries,New Jersey,04000US34,new-jersey
192030,Chemists & materials scientists,2018,2018,TRUE,TRUE,6320,1950.365196,133386.1179,38749.14579,2.283330764,65,chemists-materials-scientists,New Jersey,04000US34,new-jersey
291011,Chiropractors,2018,2018,TRUE,TRUE,918,743.7894784,133361.3083,79528.5294,0.646573315,11,chiropractors,New Jersey,04000US34,new-jersey
112011,Advertising & promotions managers,2016,2016,TRUE,TRUE,1765,1031.232922,133176.0187,63410.21162,1.364577308,14,advertising-promotions-managers,New Jersey,04000US34,new-jersey
291081,Podiatrists,2016,2016,TRUE,TRUE,357,463.8639226,133173.7871,146605.4525,2.125447324,5,podiatrists,New Jersey,04000US34,new-jersey
132041,Credit analysts,2015,2015,TRUE,TRUE,1225,859.1705696,132799.8914,102687.0019,1.478359058,12,credit-analysts,New Jersey,04000US34,new-jersey
15124X,Database administrators and architects,2018,2018,TRUE,TRUE,5756,1861.427527,132365.1883,24779.98494,1.692283142,51,database-administrators-and-architects,New Jersey,04000US34,new-jersey
1520XX,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",2015,2015,TRUE,TRUE,2285,1173.27432,131938.5497,28414.34436,1.503187259,24,miscellaneous-mathematical-science-occupations-including-mathematicians-statisticians,New Jersey,04000US34,new-jersey
113021,Computer & information systems managers,2015,2015,TRUE,TRUE,32083,4380.718644,131777.0604,12318.25669,1.903320713,339,computer-information-systems-managers,New Jersey,04000US34,new-jersey
191020,Biological scientists,2017,2017,TRUE,TRUE,1697,1011.18531,131700.6612,86482.71497,0.705576364,22,biological-scientists,New Jersey,04000US34,new-jersey
433099,Other financial clerks (Legacy),2017,2017,TRUE,TRUE,6814,2025.044675,131555.435,48453.21484,1.718507763,58,other-financial-clerks,New Jersey,04000US34,new-jersey
1520XX,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",2018,2018,TRUE,TRUE,8606,2275.323561,131025.2503,29430.7582,1.839322547,75,miscellaneous-mathematical-science-occupations-including-mathematicians-statisticians,New Jersey,04000US34,new-jersey
532010,Aircraft pilots & flight engineers,2015,2015,TRUE,TRUE,2233,1159.854515,130960.3972,41007.55216,0.512996433,26,aircraft-pilots-flight-engineers,New Jersey,04000US34,new-jersey
291124,Radiation therapists,2017,2017,TRUE,TRUE,567,584.5718737,130359.5644,72156.01154,1.008589467,6,radiation-therapists,New Jersey,04000US34,new-jersey
291081,Podiatrists,2014,2014,TRUE,TRUE,450,520.7840817,129203.8933,65251.29177,2.284447524,5,podiatrists,New Jersey,04000US34,new-jersey
331021,Firstline supervisors of fire fighting & prevention workers,2015,2015,TRUE,TRUE,483,539.5395982,129179.6398,40720.01629,0.357546417,7,firstline-supervisors-of-fire-fighting-prevention-workers,New Jersey,04000US34,new-jersey
331021,Firstline supervisors of fire fighting & prevention workers,2017,2017,TRUE,TRUE,806,696.9505203,129164.9665,25635.69005,0.527446669,8,firstline-supervisors-of-fire-fighting-prevention-workers,New Jersey,04000US34,new-jersey
291041,Optometrists,2016,2016,TRUE,TRUE,1632,991.6337533,128316.8235,52325.10342,1.762815638,16,optometrists,New Jersey,04000US34,new-jersey
112020,Marketing & sales managers,2015,2015,TRUE,TRUE,36824,4690.573519,127883.8087,14561.51813,1.375066907,401,marketing-sales-managers,New Jersey,04000US34,new-jersey
132053,Insurance underwriters,2016,2016,TRUE,TRUE,5212,1771.373201,127625.8296,46115.14777,1.644651468,55,insurance-underwriters,New Jersey,04000US34,new-jersey
151143,Computer network architects (Legacy),2016,2016,TRUE,TRUE,3115,1369.759474,126965.1454,19429.12005,1.080275571,37,computer-network-architects,New Jersey,04000US34,new-jersey
112020,Marketing & sales managers,2016,2016,TRUE,TRUE,35344,4596.383699,126793.3392,14038.33151,1.281788213,377,marketing-sales-managers,New Jersey,04000US34,new-jersey
113131,Training & development managers,2017,2017,TRUE,TRUE,1383,912.8861909,126451.5625,56438.68188,0.70959449,17,training-development-managers,New Jersey,04000US34,new-jersey
119121,Natural sciences managers,2018,2018,TRUE,TRUE,1131,825.5612537,125684.9408,71688.63646,1.604145468,12,natural-sciences-managers,New Jersey,04000US34,new-jersey
151212,Information security analysts,2018,2018,TRUE,TRUE,3773,1507.400849,125428.0154,28980.92202,1.193036795,44,information-security-analysts-151212,New Jersey,04000US34,new-jersey
419031,Sales engineers,2016,2016,TRUE,TRUE,1827,1049.181234,125160.4111,33599.46755,1.6499643,19,sales-engineers,New Jersey,04000US34,new-jersey
132051,Financial analysts,2014,2014,TRUE,TRUE,14440,2945.160514,125059.3231,26008.94512,2.393274234,141,financial-analysts,New Jersey,04000US34,new-jersey
331012,Firstline supervisors of police & detectives,2016,2016,TRUE,TRUE,5051,1743.832631,124973.0295,14901.65888,1.558904037,48,firstline-supervisors-of-police-detectives,New Jersey,04000US34,new-jersey
1520XX,"Miscellaneous mathematical science occupations, including mathematicians & statisticians",2016,2016,TRUE,TRUE,2984,1340.668501,124822.7322,33300.69433,1.595652178,36,miscellaneous-mathematical-science-occupations-including-mathematicians-statisticians,New Jersey,04000US34,new-jersey
331021,Firstline supervisors of fire fighting & prevention workers,2018,2018,TRUE,TRUE,980,768.4906998,124223.2663,40445.45497,0.756179634,11,firstline-supervisors-of-fire-fighting-prevention-workers,New Jersey,04000US34,new-jersey
532010,Aircraft pilots & flight engineers,2016,2016,TRUE,TRUE,3111,1368.880377,123879.2369,30539.71462,0.61189573,36,aircraft-pilots-flight-engineers,New Jersey,04000US34,new-jersey
331012,Firstline supervisors of police & detectives,2017,2017,TRUE,TRUE,4733,1688.13067,123635.0002,15858.96815,1.430898292,51,firstline-supervisors-of-police-detectives,New Jersey,04000US34,new-jersey
291131,Veterinarians,2014,2014,TRUE,TRUE,2068,1116.20217,123379.4347,40322.61356,0.967058046,25,veterinarians,New Jersey,04000US34,new-jersey
1191XX,Other managers,2018,2018,TRUE,TRUE,127553,8638.204219,123350.1579,7704.752913,1.190930922,1333,other-managers,New Jersey,04000US34,new-jersey
112020,Marketing & sales managers,2014,2014,TRUE,TRUE,31223,4322.036652,123007.1606,15216.09667,1.247059387,325,marketing-sales-managers,New Jersey,04000US34,new-jersey
151241,Computer network architects,2018,2018,TRUE,TRUE,5059,1745.231718,122845.6709,20769.0204,1.682307125,54,computer-network-architects-151241,New Jersey,04000US34,new-jersey
433099,Other financial clerks (Legacy),2014,2014,TRUE,TRUE,5011,1736.909535,122548.553,51921.21128,1.503555726,48,other-financial-clerks,New Jersey,04000US34,new-jersey
172041,Chemical engineers,2015,2015,TRUE,TRUE,1811,1044.576455,121993.3208,30882.80373,0.914710775,23,chemical-engineers,New Jersey,04000US34,new-jersey
132051,Financial analysts,2016,2016,TRUE,TRUE,11793,2662.456689,121744.8614,25447.79157,1.94218112,119,financial-analysts,New Jersey,04000US34,new-jersey
112020,Marketing & sales managers,2017,2017,TRUE,TRUE,39366,4849.050307,121669.8371,12400.12758,1.395332872,395,marketing-sales-managers,New Jersey,04000US34,new-jersey
1910XX,"Medical scientists, & life scientists, all other",2016,2016,TRUE,TRUE,5885,1882.116984,121534.2552,32104.53594,1.459020142,62,medical-scientists-life-scientists-all-other,New Jersey,04000US34,new-jersey
411012,Firstline supervisors of nonretail sales workers,2017,2017,TRUE,TRUE,42754,5051.417684,121255.4581,13734.90392,1.235026417,443,firstline-supervisors-of-nonretail-sales-workers,New Jersey,04000US34,new-jersey
15113X,"Software developers, applications & systems software",2017,2017,TRUE,TRUE,51416,5533.958266,121166.0774,8854.630894,1.293373763,566,software-developers-applications-systems-software,New Jersey,04000US34,new-jersey
291011,Chiropractors,2016,2016,TRUE,TRUE,1827,1049.181234,120635.4729,45733.92528,1.484314911,14,chiropractors,New Jersey,04000US34,new-jersey
112011,Advertising & promotions managers,2018,2018,TRUE,TRUE,2624,1257.259616,120567.8129,73742.73042,1.824859776,31,advertising-promotions-managers,New Jersey,04000US34,new-jersey
518010,"Power plant operators, distributors, & dispatchers",2017,2017,TRUE,TRUE,1105,816.0196195,120398.7484,31056.78924,0.813532503,10,power-plant-operators-distributors-dispatchers,New Jersey,04000US34,new-jersey
112011,Advertising & promotions managers,2015,2015,TRUE,TRUE,1565,971.0708459,120373.0447,53568.60991,1.251640686,19,advertising-promotions-managers,New Jersey,04000US34,new-jersey
151143,Computer network architects (Legacy),2015,2015,TRUE,TRUE,4357,1619.731091,120341.0399,19115.17815,1.396723187,48,computer-network-architects,New Jersey,04000US34,new-jersey
131111,Management analysts,2018,2018,TRUE,TRUE,29299,4188.186189,119993.8014,17007.87545,1.293770013,320,management-analysts,New Jersey,04000US34,new-jersey
499051,Electrical powerline installers & repairers,2016,2016,TRUE,TRUE,1488,946.8911584,119476.914,24473.86288,0.441985217,16,electrical-powerline-installers-repairers,New Jersey,04000US34,new-jersey
151111,Computer & information research scientists,2014,2014,TRUE,TRUE,901,736.8693134,118982.4007,31222.00914,2.09229526,5,computer-information-research-scientists,New Jersey,04000US34,new-jersey
132099,Other financial specialists (Legacy),2015,2015,TRUE,TRUE,2356,1191.352908,118961.719,71980.75323,1.490087113,23,other-financial-specialists,New Jersey,04000US34,new-jersey
331012,Firstline supervisors of police & detectives,2015,2015,TRUE,TRUE,3077,1361.37946,118454.7056,15435.81762,1.038381446,32,firstline-supervisors-of-police-detectives,New Jersey,04000US34,new-jersey
292043,Paramedics,2018,2018,TRUE,TRUE,928,747.8287823,118270.3394,86930.4585,0.319052934,10,paramedics,New Jersey,04000US34,new-jersey
29203X,Nuclear medicine technologists and medical dosimetrists,2018,2018,TRUE,TRUE,920,744.5990937,118000.475,50088.6495,1.089322284,11,nuclear-medicine-technologists-and-medical-dosimetrists,New Jersey,04000US34,new-jersey
537021,Crane & tower operators,2016,2016,TRUE,TRUE,891,732.7705525,117922.8519,53814.55259,0.508119593,10,crane-tower-operators,New Jersey,04000US34,new-jersey
331012,Firstline supervisors of police & detectives,2014,2014,TRUE,TRUE,3028,1350.50366,117803.8243,18691.87947,0.926244465,40,firstline-supervisors-of-police-detectives,New Jersey,04000US34,new-jersey
419031,Sales engineers,2015,2015,TRUE,TRUE,1091,810.8315897,117676.5115,32978.10765,1.086984937,12,sales-engineers,New Jersey,04000US34,new-jersey
191020,Biological scientists,2014,2014,TRUE,TRUE,1645,995.5715338,117337.1447,60335.80623,0.825429642,16,biological-scientists,New Jersey,04000US34,new-jersey
518010,"Power plant operators, distributors, & dispatchers",2018,2018,TRUE,TRUE,582,592.2526944,117287.7388,31276.63737,0.42417955,8,power-plant-operators-distributors-dispatchers,New Jersey,04000US34,new-jersey
151252,Software developers,2018,2018,TRUE,TRUE,54889,5715.385887,117153.2243,8172.40036,1.430732487,550,software-developers,New Jersey,04000US34,new-jersey
